film_id,budget,revenue,dir_id
43774,135000000,282570682,4875
43775,135000000,245724603,4763
43776,132000000,373552094,4841
43777,70000000,442824138,4876
43778,130000000,631744560,4877
43779,130000000,519311965,4878
43780,130000000,847423452,4831
43781,135000000,368871007,4879
43782,132000000,591739379,4799
43783,130000000,273339556,4788
43784,130000000,554987477,4835
43785,110000000,293329073,4880
43786,125000000,362637473,4881
43787,130000000,371940071,4799
43788,130000000,789804554,4882
43789,130000000,49554002,4796
43790,130000000,243843127,4854
43791,127500000,354248063,4883
43792,127000000,349424282,4842
43793,130000000,321887208,4884
43794,125000000,976475550,4885
43795,130000000,61648500,4886
43796,140000000,655011224,4763
43797,125000000,752100229,4831
43798,125000000,767820459,4846
43799,103000000,500188435,4887
43800,110000000,407711549,4772
43801,125000000,626137675,4802
43802,125000000,334615000,4888
43803,125000000,232713139,4873
43804,65000000,261317921,4889
43805,160000000,61698899,4890
43806,130000000,276572938,4891
43807,125000000,238207122,4892
43808,123000000,345141403,4846
43809,125000000,544272402,4803
43810,125000000,546388105,4893
43811,120000000,325756637,4833
43812,130000000,289047763,4894
43813,120000000,609016565,4867
43814,110000000,228738393,4895
43815,120000000,415484914,4876
43816,120000000,259175788,4793
43817,130000000,403170142,4779
43818,120000000,169956806,4858
43819,115000000,286140700,4896
43820,105000000,115772733,4897
43821,120000000,242688965,4898
43822,120000000,93945766,4805
43823,120000000,48668907,4899
43824,117000000,261930431,4900
43825,120000000,286168572,4789
43826,113000000,850000000,4901
43827,120000000,649398328,4901
43828,115000000,562816256,4806
43829,120000000,415440673,4900
43830,115000000,924317558,4901
43831,135000000,585178928,4825
43832,97250400,132900000,4902
43833,115000000,77628265,4893
43834,115000000,164602163,4903
43835,125000000,477200000,4849
43836,105000000,716392705,4882
43837,116000000,178127760,4904
43838,135000000,245623848,4905
43839,120000000,167977596,4906
43840,110000000,574480841,4842
43841,110000000,470490832,4907
43842,110000000,333011068,4908
43843,110000000,215294342,4803
43844,110000000,362744280,4909
43845,110000000,478207520,4813
43846,110000000,295238201,4886
43847,116000000,102000000,4809
43848,112000000,237382724,4910
43849,120000000,227817248,4911
43850,110000000,337580051,4912
43851,110000000,563749323,4913
43852,110000000,103951461,4914
43853,110000000,179246868,4886
43854,110000000,299268508,4842
43855,105000000,347434178,4913
43856,160000000,164508066,4915
43857,110000000,125537191,4843
43858,110000000,383531464,4916
43859,93000000,871368364,4777
43860,110000000,72178895,4917
43861,107000000,87713825,4918
43862,0,0,4919
43863,120000000,347234916,4865
43864,130000000,211643158,4779
43865,133000000,300135367,4858
43866,105000000,267045765,4920
43867,108000000,630161890,4779
43868,126000000,162949164,4788
43869,90000000,10372291,4921
43870,90000000,237202299,4922
43871,103000000,457640427,4779
43872,102000000,358372926,4799
43873,100000000,876688482,4885
43874,150000000,599045960,4791
43875,100000000,362211740,4785
43876,100000000,520000000,4762
43877,80000000,214104620,4918
43878,100000000,266465037,4779
43879,115000000,378882411,4762
43880,100000000,150166126,4923
43881,100000000,310650585,4924
43882,100000000,170432927,4925
43883,100000000,242295562,4926
43884,100000000,425368238,4927
43885,100000000,100138851,4928
43886,100000000,169327687,4929
43887,100000000,312573423,4930
43888,100000000,347451894,4832
43889,100000000,249288105,4931
43890,100000000,100086793,4932
43891,100000000,268426634,4933
43892,100000000,278731369,4934
43893,100000000,211989043,4935
43894,100000000,170877916,4863
43895,100000000,392000694,4809
43896,100000000,336529144,4892
43897,105000000,121214377,4889
43898,102000000,130482868,4936
43899,80000000,140073390,4771
43900,100000000,82102379,4937
43901,100000000,243400000,4786
43902,140000000,109578115,4920
43903,100000000,68688831,4938
43904,90000000,206172544,4939
43905,105000000,133718711,4940
43906,84000000,0,4941
43907,100000000,93820758,4846
43908,100000000,7103973,4942
43909,100000000,94882889,4876
43910,99000000,246233113,4943
43911,10000000,13835130,4944
43912,98000000,433013274,4815
43913,100000000,193772504,4809
43915,85000000,149044513,4946
43916,90000000,102000000,4947
43917,92000000,172989651,4779
43918,0,104907746,4948
43919,90000000,263920180,4949
43920,100000000,288347692,4950
43921,95000000,76432727,4951
43922,95000000,877244782,4943
43923,95000000,543514353,4847
43924,65000000,93525586,4777
43925,94000000,940335536,4766
43926,94000000,1118888979,4777
43927,79000000,926287400,4777
43928,95000000,114178613,4952
43929,115000000,274703340,4930
43930,100000000,103039258,4953
43931,93000000,368780809,4851
43932,93000000,482860185,4954
43933,90000000,162839667,4955
43934,92000000,304654182,4956
43935,145000000,25819961,4957
43936,92000000,631442092,4822
43937,98000000,10017322,4958
43938,95000000,226497209,4885
43939,90000000,589390539,4776
43940,90000000,497366869,4790
43941,100000000,167805466,4923
43942,90000000,347325802,4786
43943,100000000,155464351,4804
43944,100000000,242988466,4959
43945,90000000,886686817,4887
43946,90000000,188133322,4960
43947,92000000,264105545,4793
43948,90000000,289847354,4809
43949,90000000,304320254,4961
43950,92000000,188072649,4960
43951,90000000,232617430,4829
43952,90000000,366101666,4890
43953,90000000,524028679,4888
43954,100000000,94061311,4962
