id,popularity,vote_average,vote_count
44481,38,6.7,1702
44482,26,5.6,832
44483,30,6.4,1386
44484,25,5.7,1013
44485,15,5.1,316
44486,40,7.2,771
44487,32,5.9,736
44488,24,6.9,435
44489,40,7.8,1307
44490,27,6.1,675
44491,15,5.1,278
44492,39,6.1,927
44493,10,5.3,225
44494,5,5.1,109
44495,94,5.6,2436
44496,67,7.3,4056
44497,26,6.5,1652
44498,28,6.6,909
44499,27,6.7,913
44500,68,6.3,4697
44501,37,7.2,915
44502,35,7,832
44503,38,6,923
44504,18,5.6,644
44505,37,6.6,2435
44506,30,7.1,716
44507,23,6.3,850
44508,52,7,3319
44509,50,7.2,1516
44510,43,6.4,1813
44511,45,6.2,1650
44512,16,6.9,277
44513,38,5.8,854
44514,65,5.6,1652
44515,45,7.3,1630
44516,17,6.7,548
44517,10,5,213
44518,38,6.5,909
44519,32,5.9,1486
44520,18,5.5,399
44521,32,5.4,632
44522,37,7,2443
44523,17,5.2,820
44524,9,5.2,193
44525,46,7,1381
44526,30,6.3,513
44527,83,6.8,2268
44528,23,5.5,509
44529,84,7.7,4442
44530,16,6,692
44531,9,6.2,106
44532,12,5.1,542
44533,11,6,220
44534,53,5.7,3239
44535,14,6.3,276
44536,43,5.9,1567
44537,16,6.3,451
44538,42,7,938
44539,34,7.3,755
44540,18,5.6,267
44541,13,6.4,223
44542,19,6,395
44543,62,7.5,1506
44544,32,6.3,1067
44545,14,6.1,203
44546,39,6.1,1611
44547,28,6.8,582
44548,20,5.8,817
44549,20,5.5,434
44550,33,6.2,652
44551,42,7.2,1417
44552,15,5.8,255
44553,29,6.1,1267
44554,28,6.1,750
44555,14,6.1,298
44556,9,4.5,104
44557,12,4.4,269
44558,41,6.3,1233
44559,13,5.9,189
44560,19,6.2,371
44561,9,6.3,88
44562,11,4.4,205
44563,12,5,149
44564,13,5.8,510
44565,16,6,268
44566,23,6,387
44567,6,6,654
44568,6,5.9,75
44569,42,6,1817
44570,19,6.2,286
44571,10,6.1,206
44572,13,6,368
44573,21,5.6,373
44574,61,7.6,1436
44575,25,7.1,775
44576,21,6.6,428
44577,22,7.3,480
44578,6,5.4,120
44579,74,6.3,1148
44580,35,7.2,848
44581,14,5.8,458
44582,21,6.2,367
44583,21,5.2,501
44584,19,5.8,391
44585,3,5.9,81
44586,21,5.8,274
44587,7,5.5,108
44588,12,6.5,235
44589,18,6,444
44590,8,5.2,44
44591,27,5.6,760
44592,40,5.6,984
44593,11,5.9,132
44594,37,4.7,797
44595,6,5,76
44596,2,5.4,37
44597,30,5.3,600
44598,8,3.9,112
44599,21,5.7,437
44600,2,6.2,71
44601,31,7.2,666
44602,25,6.9,562
44603,80,7.6,3152
44604,26,6.5,639
44605,116,6.6,3062
44606,33,6.5,826
44607,53,6.5,1267
44608,0,4.3,13
44609,34,6.6,692
44610,40,6.1,547
44611,18,6,518
44612,30,7.1,695
44613,11,6,418
44614,19,5.6,512
44615,8,6.6,68
44616,48,6.9,1188
44617,88,6.1,2200
44618,16,6.5,333
44619,19,5.7,594
44620,1,6.6,9
44621,7,5.9,251
44622,18,6.6,339
44623,7,6.5,103
44624,63,7.2,1488
44626,10,4.6,104
44627,6,5.7,74
44628,15,6.3,584
44629,10,5.5,252
44630,41,6.8,1148
44631,25,7,661
44632,22,4.4,420
44633,12,6.2,232
44634,26,6.4,1424
44635,24,6.6,573
44636,0,6.5,2
44637,28,5,543
44638,49,6.1,2757
44639,36,5.8,912
44640,32,6.1,961
44641,53,5.8,1309
44642,30,6,697
44643,17,6.3,371
44644,17,6.4,278
44645,31,7,1111
44646,19,6.3,433
44647,10,5.6,406
44648,88,7.9,3085
44649,52,7.3,1634
44650,30,6.9,710
44651,35,5.4,982
44652,17,6.5,501
44653,43,6.5,1905
44654,23,7.3,496
44655,17,5.9,299
44656,27,4.7,610
44657,26,5.8,575
44658,37,7,1869
44659,87,6.8,2303
44660,26,6.6,741
44661,16,5.5,313
44662,10,5.9,150
44663,2,6.2,26
44664,8,5.6,176
44665,51,6.6,1315
44666,7,4.3,69
44667,12,6.1,1292
44668,44,6.6,1006
44669,6,6.4,119
44670,12,6.1,210
44671,11,5.9,134
44672,31,6.2,766
44673,24,6.1,537
44674,28,6,852
44675,20,5.5,366
44676,25,6.5,562
44677,11,7.1,410
44678,20,6.7,796
44679,32,6.2,661
44680,27,5.4,676
44681,6,4.7,100
44682,11,5.5,154
44683,13,5.3,244
44684,12,6.5,215
44685,6,6.1,151
44686,9,4.7,136
44687,7,5.8,60
44688,3,7.1,71
44689,21,6.7,670
44690,6,6,154
44691,11,6.3,90
44693,14,5,332
44694,5,6.3,80
44695,5,6.4,81
44696,3,4,11
44697,35,6,1007
44698,5,2.3,28
44699,62,7.1,3423
44700,54,7.2,1220
44701,33,5.5,858
44702,16,7.3,715
44703,38,6.3,864
44704,3,5.5,89
44705,46,6.9,1355
44706,5,6.4,55
44707,49,6.4,1528
44708,24,5.6,685
44709,19,7,302
44710,5,6,208
44711,25,6.6,518
44712,18,5.3,280
44713,23,6.6,501
44714,21,6.8,566
44715,44,6.3,1045
44716,62,6.7,4074
44717,28,7,1262
44718,31,6.5,1150
44719,33,5.8,773
44720,6,5.4,134
44721,37,6.5,1575
44722,13,6.7,146
44723,26,6,593
44724,14,6.1,184
44725,3,6.5,47
44726,14,6.1,305
44728,28,5.9,541
44729,45,5.6,922
44730,15,5.7,191
44731,14,4,232
44732,34,7,1335
44734,19,5.3,388
44735,74,6.1,2304
44736,7,6.3,136
44737,7,6.8,148
44738,32,6.8,1626
44740,36,6.6,907
44741,14,5.3,281
44742,73,7.7,3147
44743,34,6.2,925
44744,9,5.6,248
44745,28,6.9,891
44746,49,6.8,2807
44747,36,6.7,1804
44748,19,6.2,278
44749,43,7.4,3829
44750,115,6.3,5878
44751,98,5.2,3254
44752,21,4.7,511
44753,25,7,509
44754,26,6,699
44755,37,7.4,1526
44756,21,6.7,354
44757,68,7,1949
44758,69,7.1,3391
44759,26,6.2,959
44760,32,5.3,750
44761,24,5.7,736
44762,45,7.1,2900
44763,36,5.9,944
44764,45,7.1,1056
44765,22,6.6,560
44766,31,6.8,787
44767,31,7,767
44768,67,5.4,1127
44769,24,6.7,542
44770,53,7.1,1881
44771,25,6.1,555
44772,37,7.1,732
44773,21,7.2,467
44774,66,7.2,2691
44775,24,6.2,716
44776,25,6.5,515
44777,29,5.7,731
44778,26,7.5,502
44779,17,5.4,371
44780,21,5.8,441
44781,52,6.1,1350
44782,34,6.2,1437
44783,32,5.4,831
44784,48,7.2,2583
44785,24,6,457
44786,17,5.9,612
44787,14,5.9,297
44788,23,6.2,511
44789,19,5,336
44790,26,7.3,453
44791,26,7,902
44792,38,6.5,1265
44793,74,8,4391
44794,82,6.1,1536
44795,18,5.7,332
44796,41,7.3,1221
44797,23,6.2,440
44798,47,6,1206
44799,7,5.8,51
44800,32,6.4,972
44801,29,6.5,670
44802,29,6.4,573
44803,16,6.5,386
44804,19,6,394
44805,14,6.8,255
44806,12,6.7,235
44807,27,5.8,629
44808,3,6.8,316
44809,7,5.8,114
44810,39,4.9,740
44812,8,5.7,135
44813,17,6.2,554
44814,43,6.5,1789
44815,15,5.4,284
44816,35,6.1,902
44817,25,6.1,474
44818,10,6.7,275
44819,72,5.3,1695
44820,3,5,40
44821,38,5.9,866
44822,6,5.3,140
44823,24,7,432
44824,9,5.9,182
44825,15,5.5,275
44826,32,5.8,1468
44827,8,5.4,138
44828,31,6.9,708
44829,22,6.1,412
44830,12,6.3,186
44831,7,5.6,135
44832,10,6.7,155
44833,3,4.9,71
44834,4,5,45
44835,13,4.6,147
44836,3,5.2,56
44837,22,6.4,477
44838,19,6.4,278
44839,13,5.4,205
44840,17,7.2,345
44841,4,5.9,81
44842,33,6.5,824
44843,16,6.9,190
44844,3,5.7,92
44845,5,5.9,48
44846,7,4.7,119
44847,3,6,67
44848,14,4.9,256
44849,22,6.5,642
